"job_title","job_type","slug","description","city_id","region_id","due_date","status","created_at","updated_at","number_of_vacancy","experience","gender","salary"
"Account Manager","fulltime","pump-operators","Job Requirements
Grow existing staffing clients and develop new staffing clients
Track all job requisitions and candidates
Calibrate candidates and client update meetings with managers and upper management
Conduct interviews; reference checks and orientations
Assist with on-boarding, orientations, and kickoffs
Ensure completion of all candidate employment documentation
Identify, utilize and track recruitment and advertising sources and methods
Build positive, credible relationships with customers
Liaise with employees and clients
Monitor employee performance
Create daily, weekly and monthly reports
Develop a pipeline of candidates ready to join
Perform other duties as assigned","160 Giuseppe Ports Apt. 101
Chelseaberg, OH 18581-9842","82513 Witting Views
Lake Curt, WY 86879-6180","22/1/2006","0","12/3/2019 22:55:01","12/3/2019 22:55:01","8","2","female","9666"
"Front End Web Developer","contract","transportation-inspector","- Strong knowledge of the latest standards and techniques of HTML, CSS, JavaScript/jQuery. (nice to Angular)
- Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS, Bourbon/Neat.
- Experience working with CMS (preferably OpenText WEM)","959 Mitchell Station Apt. 006
Port Ike, ME 54329-2782","110 Maverick Underpass
Joaquinland, WA 55022-6880","11/6/2006","1","26/6/2019 20:04:01","26/6/2019 20:04:01","4","8","female","13485"
"District Sales Manager","fulltime","parking-lot-attendant","Bachelor’s Degree in Business Information Systems, Marketing, Communications or similar field or equivalent work experience required.
10 + years sales experience
Previous experience in telecom, call center, software or hardware industries
Highly professional demeanor - presence, voice
Demonstrated high level competency in written and verbal communications
Demonstrated success working with little to no direct daily supervision in a home office setting","86950 Blaise Green Suite 706
Wilkinsonview, CO 09380-0743","7262 Ted Overpass Apt. 334
Lucybury, SC 01562","20/2/1992","0","3/7/2019 17:11:28","3/7/2019 17:11:28","10","7","female","13142"
"Senior Internal Auditor","fulltime","public-relations-specialist","3+ years of financial and risk based auditing experience, including a good understanding of risks and controls
Chartered Professional Accounting (CPA) designation
Current knowledge of audit industry best practices
Willingness to travel occasionally, within North America
What we would love to see?

Demonstrated strong communication, negotiation and conflict resolution abilities
Excellent analytical, problem solving skills and writing skills
Ability to adapt to change quickly, multi-task, set priorities and plan appropriately
Comfortable around senior management, can maintain composure in challenging situations and has the interpersonal savvy to deal with all levels in the organization
Public company or software/technology industry experience
Financial systems knowledge and familiarity; Great Plains or Blackline experience an asset but not essential
Public company experience, particularly in the Software or Technology sector","94214 Benedict Shoal
Elissaberg, IL 10435","199 Jacynthe Pass
Hamilltown, KS 62646-1935","29/11/1999","0","8/6/2019 09:19:26","8/6/2019 09:19:26","8","8","male","14468"
"Continuous Improvement Lead","fulltime","nuclear-engineer","Duties:

 Key Accountabilities

 The lead will work with the Manager of Continuous Improvement to ensure:
 CI is embedded in every area of the business
 Identify areas for transformation based on analytics and lead large scale standardization and continuous improvement initiatives
 Tangible and sustainable benefits are realized and reported
 There is a focus on employee buy-in, motivation and behaviour change to support and realize the implementation of CI principles
 Employees are empowered with the required skills for a self-sustainable CI culture
 Action plans are followed up and reported on","79267 Aaron Dam
West Tressie, VT 32615","973 Marisa Lodge
East Clair, SD 48555-6412","18/3/1991","0","14/2/2019 06:10:02","14/2/2019 06:10:02","5","9","male","12755"
"HR Generalist","fulltime","mechanical-drafter","Roles and Responsibilities

Day to day admin support of employee data
First point of contact for employee HR inquires
Coordinating on boarding, terminations, extended absences etc.
Prepares, delivers and follows up on approved offer letters and onboarding documents
Coaches leaders on basic to moderate employee relations matters. Elevates more complex matters to supervisor further support and or resolution as required
Coordinates vacation and extended absences administration including tracking, reconciliation and fulfillment follow-up
Assists with other HR administrative matters such as HR metrics, employment verification letters, HRIS troubleshooting and administration
May travel to stores on day, evening, overnight and weekends to build relationships and support HR matters (5-10% travel)
Supports urgent evening and weekend retail HR support needs in an accurate and timely manner as required","286 Dean Summit
South Chaimchester, FL 55739","146 Lakin Lock Apt. 253
Simonebury, RI 24455-5614","29/9/1978","0","21/5/2019 18:08:23","21/5/2019 18:08:23","2","7","male","8961"
"Office Manager ","fulltime","orthotist-or-prosthetist","5+ years in a similar office management and/or administrative role, in a small office environment, ideally within a trade association (or similar organization – i.e. regulatory body, non-profit, etc.)

Experience providing administrative support to a board of directors and board committees

Experience preparing professional communications, with excellent English writing skills

Functional bilingualism in English/French is strongly preferred (strong proficiency speaking and reading French, and writing English)

Basic accounting support experience (accounts receivable or collections experience preferred) and/or bookkeeping experience

Strong proficiency with Microsoft Office Suite including Word, Excel and Outlook; and also, with Adobe Acrobat and DropBox","54438 Corwin Place Suite 110
West Berniece, NC 71433-9992","5623 Ryleigh Ranch Suite 514
Lefflermouth, VA 01629","6/6/2002","1","8/7/2019 10:33:24","8/7/2019 10:33:24","2","6","male","16055"
"Civil Engineer","fulltime","physician-assistant","Bachelor’s Degree in Civil Engineering
10+ years’ civil engineering experience
SE licence highly desirable
Extensive AutoCAD experience
Highly developed team management and leadership skills
Working knowledge of HydroCAD modelling","504 Dana Crescent Apt. 811
Ethelynview, TX 71564","8627 Wilderman Street Suite 695
New Rafael, OH 64171-5700","8/4/1976","1","31/7/2019 21:12:16","31/7/2019 21:12:16","2","7","male","9665"
"Software Developer ","fulltime","securities-sales-agent","Responsibilities
-Explore and propose various system optimizations to improve software performance.
-Implement said optimizations where necessary/applicable.
-Investigate and resolve complex system software issues. Interface with many functional teams from Kernel to application domains as part of the investigations.
-Investigate system and process crashes using developed tools.
-Perform initial triage to identify the offending component responsible for final resolution, and/or root cause where required.
-Characterize and measure performance impacts of key feature submissions.

Qualifications
-Bachelor or Masters degree or equivalent experience in Electrical/Computer Engineering, Computer Science or related field
-5+ years’ professional experience in an embedded SW
-Have a keen interest in software technologies, with emphasis on embedded systems design and optimization
-High level of knowledge in C++ programming
-Familiarity with gdb
-Strong analytical and problem solving skills
-Passion for improving system software performance
-Strong communication and interpersonal skills

Additional Assets
-Previous experience with QNX and/or Linux OS development
-Development experience with infotainment and/or networking systems (CAN/Ethernet)
-Experience with code repository and versioning tools such as Git","9402 Raynor Highway
Olsonchester, HI 93700","50569 Clementina Land Suite 395
Paucekville, IA 69645","26/6/1997","0","7/4/2019 11:45:50","7/4/2019 11:45:50","2","4","female","8091"
"Travel consulting agent","fulltime","park-naturalist","Advantages
• Competitive salary
• Benefits Program
• Paid extensive training
• Easily accessible by public transportation (Downtown Montreal)
• Dynamic environment
• Welcoming culture for new employees
• Fast-paced, dynamic environment
• Company acknowledges employee achievements
• Free coffee onsite 
• Casual dresscode (i.e. wear jeans to work every day)

Qualifications
• Fully Bilingual (French / English) oral and written
• Experience in the travel industry
• Good knowledge of geography and airports codes
• Have the customer service experience","351 Hagenes Crest
West Elroychester, MT 20947-6853","34865 Lehner Ports Apt. 449
East Dollyland, TX 55733-1816","9/9/1999","0","6/2/2019 05:10:31","6/2/2019 05:10:31","10","7","female","9400"
"HR Director ","fulltime","photoengraving-machine-operator","responsibilities:

Create and implement employee relations policies to help increase employees’ job satisfaction
Devise a list of procedures and practices for hiring new employees and managing our staff
Establish an orientation procedure for onboarding new hires and training them to meet the needs of the company
Communicate with employees about compensation, benefits and other facets of their employment
Approve and schedule PTO and SL based on employee need and company requirements
Respond to questions or complaints from employees in a timely fashion
Manage all other HR department personnel","8238 Hahn Light Apt. 305
Satterfieldchester, VT 02557-6277","47819 Grayson Mission Apt. 476
West Dorthy, TX 29196","22/1/2000","1","22/6/2019 22:17:52","22/6/2019 22:17:52","3","2","female","10695"
"Senior Software Developer","fulltime","soil-scientist-or-plant-scientist","Major Responsibilities
* Responsible for developing, maintaining and support of process application programs and related control systems * Conducts root cause analysis and troubleshoots programming issues * Adheres to our established change control management process * Encodes project requirements by converting work flow information into programming language * Responsible for system design and specifications * Adheres to all IT Policies and develops in accordance with the Magna IT Security Policy * Work closely with customers/users to develop and understand requirements and business objectives * Manage business plan projects * Ability to work extended hours when required * Other duties as required

Knowledge and Education
* University/College Degree or Diploma (preferably in Computer Science) or equivalent experience * Progressive knowledge of state of the art technologies * Proven programming ability in various languages required","591 Hane Pines
East Justina, NV 52729","326 Cole Corners
Borermouth, OH 75522-5984","18/1/1997","0","2/4/2019 23:26:02","2/4/2019 23:26:02","2","4","female","7065"
"Accounts Payable","fulltime","real-estate-association-manager","Advantages
- Permanent position with an incredible company who takes care of their employees
- $35,000-$45,000/yr dependent on skills and experience
- Monday to Friday 8:30 am - 5:00 pm
- Great benefits plan
- RRSP plan available
- Generous vacation time
- Above industry standard bonus structure based on personal and company performance

Qualifications
- 3+ years experience in a fast paced accounting/accounts payable role, having experience in construction is an asset 
- Diploma in Accounting
- Must take pride in their work, have strong attention to detail, great prioritization and multi-tasking skills
- Extremely organized and willing/open to learn new skills
- Can handle pressure and deadlines
- Strong with Microsoft office and comes with experience on Sage 300 
- Very professional, presentable, outgoing and can work well with a team","784 Gislason River
Jesseville, DE 70255-5666","90002 Armand Road
West Teagan, NE 63901-7097","11/10/1998","0","30/5/2019 00:22:24","30/5/2019 00:22:24","7","7","female","18421"
"Front End Web Developer","fulltime","taxi-drivers-and-chauffeur","Responsibilities
* Review website designs and wireframes, ensure development requirements are clear
* Build website front-ends, intuitively optimizing for all device sizes
* Problem solve UX, design, code, cross-browser issues, and bring to the attention of the appropriate team members
* Constantly collaborate with the rest of the team to ensure finished products meet the business, creative, and technical requirements
* Work independently on multiple projects, while making sure to ask for assistance when needed
* Optimize websites for maximum performance, cross-browser compatibility
* Constantly improve development standards, practices, building a library of reusable resources","1548 Rodolfo Summit
South Mayeshire, MT 57906","1095 Metz Park Apt. 648
Batzburgh, CT 24938","4/6/1983","0","23/3/2019 13:14:01","23/3/2019 13:14:01","1","9","male","18704"
"Administrative Assistant","fulltime","meat-packer","Primary Duties:

Verify production assembly sheets by ensuring that heat numbers are properly allocated on production work orders
Assist the Sales department in processing and maintaining sales orders as well as create and complete sales orders
Create and maintain manufacturing work orders and work order files
Assist shop floor personnel with daily work order bookings 
Process, maintain, receive and complete farm-out purchase orders
Material issue as required
Complete and amalgamate work order documentation
Prepare commercial invoice and Bill of Ladings on shipments and NAFTA documents
Responsible for purchasing/inventory monitoring of administration consumables and rentals such as uniforms, mats, office supplies, etc
Assist with a variety of administrative functions, including creating documents and maintaining employee files
Perform other related duties as required","8139 Kristian Hills
South Verona, CT 27139-8966","246 Gerlach Mission
East Lew, MS 66074-3533","30/3/1981","0","26/5/2019 16:58:03","26/5/2019 16:58:03","7","2","male","7275"
"Business Administrator","fulltime","pr-manager","Proficiency with purchase order management, expense management and travel and meeting coordination
Excellent math and computer skills
Detailed planning and time-management skills
3+ years of experience as a Business Administrator
Great organizational, communication and negotiation skills
Bachelor’s Degree or higher in Business Administration, accounting or related field","239 Hauck Inlet
New Christopherberg, MA 39952-7228","755 Monahan Manors Suite 047
Gleichnerport, SD 95966-9124","15/6/1997","0","13/3/2019 12:30:38","13/3/2019 12:30:38","9","5","female","10125"
"Financial Controller ","fulltime","mail-clerk","Key responsibilities: 
- Leading, managing & mentoring of staff
- Leading and guiding the day-to-day accounting functions and transactions 
- Preparation of financial reporting for the Board & Senior Leadership Team
- Preparation of statutory accounts, including researching technical accounting standards for compliance
- Quality control over financial transactions & financial reporting
- Documentation of business processes & accounting policies to maintain & strengthen internal controls
- Management of, and compliance with, regulatory reporting requirements & tax filings
- Management of the annual audit process
- Continuous assessment & improvement of the effectiveness & efficiency of financial processes","394 Felicity Islands Suite 546
Aaronburgh, MO 28795-5159","78459 Schuster Junctions
Amaraside, AL 78140","20/12/1989","0","30/4/2019 09:20:13","30/4/2019 09:20:13","7","4","male","19690"
"Consultant Income Tax","fulltime","maintenance-supervisor","Duties and Responsibilities:

People:

Create a positive team member experience.
Client:

Assists Manager in preparation, completion, and understanding of accounting tax provisions.
Assists Manager in tax research and preparation of client memorandum.
Responds to client requests and corresponds with clients to meet deliverables, with supervision provided by Manager.
Value:

Familiarity with Canadian compliance including Forms T2, T106, T1134, T5013, NR4, T1.
Ability to multi-task and manage a workload across multiple clients.
Assist in the growth of practice through the preparation of training seminars.
Performs other duties as assigned.","151 Timmy Junctions
Port Devinfort, OK 36135-4741","8792 Buddy Drive Suite 111
Balistrerihaven, ND 51517","28/9/1990","1","10/7/2019 22:34:40","10/7/2019 22:34:40","1","3","female","10139"
"Accounts Payable Clerk","fulltime","real-estate-appraiser","Code and enter invoices into our accounting system.
•	Reconcile vendor statements, and issue payments within payment terms.
•	Code all cheques to appropriate ledger accounts.
•	Posting journal entries to maintain accounting schedules.
•	Related administration tasks such as filing, faxing and dealing with customers.
•	Handle receptionist duties during lunch and break coverage.
•	Other duties as requested by management

Qualifications: 

•	2 – 3 years of experience in AR/AP and book keeping
•	Excellent communication skills
•	Experience in using MS Office applications – Word, Excel and Outlook as well as use various databases
•	Excellent customer service and client support experience
•	Experience in the same industry is a definite asset. 
•	Comfortable working in s blue collared, industrial work space
•	Able to work in a fast paced environment","2802 Swift Islands Suite 206
South Vincefort, ID 25253","98379 Runolfsdottir Orchard Apt. 445
Sengerborough, CT 57632-4580","25/3/2000","0","22/1/2019 07:23:16","22/1/2019 07:23:16","7","1","male","11590"
"Car Sales Associates","fulltime","parts-salesperson","Requirements:

Proven track record in sales             
Self-motivation
Self-starter
Excellent communication skills (we place a lot of value on being personable and happy to help)
Strong customer relationship-building skills
Valid Driver’s license
Ability to think like a customer, in order to provide the best possible sales experience
Experience in the auto industry is an asset","27203 Collier Canyon
New Jordanemouth, TN 07970","9104 Camille Coves
New Vadashire, NM 93401-1447","6/10/1992","1","3/7/2019 10:45:20","3/7/2019 10:45:20","8","4","male","14603"
